PRIORITAIRE;ID_indicateur;Famille;Indicateur;Description;ID_source;Nom de la ressource;Origine;Distributeur;URL;Statut_Disponibilité;couverture spatiale;actualisation;Remarque;retirer de la liste;raison
non;103;Enjeux Environnementaux;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;105;Espèces rares et menacées (nom à vérifier);Endemia;ENDEMIA;;Disponible;Nouvelle-calédonie;NA;Couche espèces menacées non publiée sur GéoRep – consulter directement ENDEMIA;;
non;104;Enjeux Environnementaux;Espèces menacées (Forêt sèche);Superficie des intersections des patchs de forêt sèche;106;Forêt sèche – Indices de vulnérabilité;CEN;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/b9304b72009f45e6aa4fc2fab702e98b;Disponible;Nouvelle-calédonie;NA;;;
non;105;Enjeux Environnementaux;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes végétation);OEIL/GOUV;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/b1efecab06904c9996127a3ff5bdc586/about;Disponible;Nouvelle-calédonie;jamais;MOS 2014 (24 classes niv.3) + évolution provinces Nord et Îles Loyauté;oui;doublons TMF
oui;105;Enjeux Environnementaux;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;108;Occupation du sol (dynamique world v1);Dynamic World V1;GEE;developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1;Disponible;Nouvelle-calédonie;5 jours;Identifier la classe correspondante sur la source et nécessite l’utilisation d’une carte de synthèse annuelle ou saisonnière;oui;doublons TMF
oui;106;Enjeux Environnementaux;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbé et dégradé;109;Cartographie des surfaces forestières de Nouvelle-Calédonie;TMF;GEE;https://forobs.jrc.ec.europa.eu/TMF;Disponible;Nouvelle-calédonie;annuelle;Utilisation de la donnée sans les classes des dynamiques;;
oui;107;Enjeux Environnementaux;Occupation sol (surfaces agricoles);"Superficie des intersections avec des zones agricoles par type (terre arables, terres
agropastorales, pépinières et sylviculture)";107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014);OEIL/GOUV;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/b1efecab06904c9996127a3ff5bdc586/about;Disponible;Nouvelle-calédonie;jamais;Classes agriculture (terre arables, terres agropastorales, pépinières et sylviculture);oui;Non identifié comme prioritaire
oui;200;Pressions Environnementales;Incendies cumulés;Superficie des intersections avec des zones potentiellement brûlées détectées par VIIRS;110;Zones potentiellement brulées (VIIRS);OEIL;OEIL;https://geoportail.oeil.nc/geoportal/catalog/search/resource/details.page?uuid=%7B5D28AFE1-541C-4102-84F0-6959F769FA78%7D;Disponible;Nouvelle-calédonie;Tous les jours;Surfaces potentiellement brûlées VIIRS depuis 2012. Il n’existe pas de source officielle qui fusionne les 2 capteurs VIIRS (SUOMI et JPSS);;
non;201;Pressions Environnementales;Surface érosion;Superficie des intersections avec des formes érosives par classe de pente;111;Cartographie des formes érosives en Province Sud;OEIL;OEIL;https://geoportail.oeil.nc/cartenvironnement/?mapresources=FORMES_EROSIVES_2018;Disponible;Province Sud;jamais;Érosion identifié et caractérisé uniquement sur la province Sud par imagerie satellite très haute résolution 2018/2019;oui;
oui;202;Pressions Environnementales;Occupation sol (Terrain nu);Superficie des intersections avec des surface de terrain sans végétation.;107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014 – classes terrain nu);OEIL/GOUV;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/b1efecab06904c9996127a3ff5bdc586/about;Disponible;Nouvelle-calédonie;jamais;Classe terrain nu extractible du MOS niveau 3;oui;doublons dynamique world
oui;202;Pressions Environnementales;Occupation sol (Terrain nu);Superficie des intersections avec des zones de terrain nu;108;Occupation du sol (dynamique world v1);Dynamic World V1;GEE;developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1;Disponible;Nouvelle-calédonie;5 jours;Identifier la classe correspondante sur la source et nécessite l’utilisation d’une carte de synthèse annuelle ou saisonnière;;
oui;203;Pressions Environnementales;Glissement terrain;Superficie des intersections avec des zones d’aléas de mouvements de terrain;112;Compilation des cartographies d'aléa mouvement de terrain communal à l'échelle 1:25 000ème.;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=c472c49f798046b9b2c716c83523c324;Disponible;15 communes;NA;Aléa (très faible, faible, modéré, élevé);;
oui;204;Pressions Environnementales;Espèces exotiques envahissantes;Priorité de régulation des espèces envahissantes (Cerf/Cochon);113;Espèces envahissantes ;ANCB;patrick Barrière ANCB;;Disponible;Nouvelle-calédonie;NA;données régionalisées par communes, avec des bilans et des résultats de chasse;;
oui;300;Pressions Anthropiques;Pollution ICPE;Nombre de site industriel à risque (par type) présent;114;Installations Classées pour la Protection de l'Environnement;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/c2e17ea9c2e84b158ff02c7b0f46fdc7;Disponible;Nouvelle-calédonie;NA;Peut être une compilation nécessaire avec les données des Provinces;;
oui;300;Pressions Anthropiques;Pollution ICPE (provinces);Nombre de site industriel à risque (par type) présent;115;Installations Classées pour la Protection de l'Environnement de la Province Sud;PSUD;PSUD;;NA;Province Sud;NA;Peut être une compilation nécessaire avec les données de la DIMENC;;
oui;300;Pressions Anthropiques;Pollution ICPE (provinces);Nombre de site industriel à risque (par type) présent;116;Installations Classées pour la Protection de l'Environnement de la Province Nord;PNORD;PNORD;;NA;Province Nord;NA;Peut être une compilation nécessaire avec les données de la DIMENC;;
oui;300;Pressions Anthropiques;Pollution ICPE (provinces);Nombre de site industriel à risque (par type) présent;117;Installations Classées pour la Protection de l'Environnement de la Province des Iles;PIL;PIL;;NA;Province des Iles;NA;Peut être une compilation nécessaire avec les données de la DIMENC;;
oui;301;Pressions Anthropiques;Occupation sol (Activité minière);Superficie des intersections avec des zones de surface minière du MOS;107;CARTOGRAPHIE – OCCUPATION DES SOLS (MOS 2014);OEIL/GOUV;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/b1efecab06904c9996127a3ff5bdc586/about;Disponible;Nouvelle-calédonie;jamais;Classe du MOS (mines);;
non;301;Pressions Anthropiques;Occupation sol (Activité minière);Nombre d’exploitation présente;118;Exploitation minière en Nouvelle-Calédonie : centres miniers et usines métallurgiques;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=4e485fd6879142d9b52fe1bcea0c2cb1;Disponible;Nouvelle-calédonie;NA;Centre minier et usine métallurgique (peut être fusionner avec les ICPE aussi ?);;
non;301;Pressions Anthropiques;Occupation sol (Activité minière);Superficie des intersections avec les zones du cadastre minier;119;cadastre minier actif (concessions, permis de recherches et réserves techniques provinciales) et échu;DIMENC;GEOREP;https://dtsi-sgt.maps.arcgis.com/home/item.html?id=e70295d0f4994702ad2d64e6c4156377;Disponible;Nouvelle-calédonie;NA;Cadastre des exploitations minière avec statu réglementaire;;
oui;302;Pressions Anthropiques;Urbanisation;Superficie des intersections avec des zones bâtis;120;BDTOPO-NC;DITTT;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/10e4a961853245a38e6fb3e109f2b7d5;Disponible;Nouvelle-calédonie;NA;Couche des  localités et zones bâties : Villes, lieux-dits, tribus – échelle 1/50 000 – mise à jour 2022. possibilité d’obtenir la surface du bâti associé et d’un nombre d’habitant (approximatif);;
oui;302;Pressions Anthropiques;Urbanisation;Superficie des intersections avec les surfaces des zones bâtis;120;BDTOPO-NC;DITTT;DITTT;;Disponible;Nouvelle-calédonie;annuelle;Données brutes de la BDTOPO. Superficie par typologie de bâti. Disponible de la données sur commande.;;
oui;303;Pressions Anthropiques;Urbanisation;Nombre de bâtis;120;BDTOPO-NC;DITTT;DITTT;;Disponible;Nouvelle-calédonie;annuelle;Données brutes de la BDTOPO. Compatage possible par typologie de bâti et surface associée. Disponible sur commande.;;
oui;304;Pressions Anthropiques;Typologie de l’habitat;Nombre de logements (principal/secondaire);128;Typologie de l’habitat;ISEE;ISEE;;Disponible;Nouvelle-calédonie;4 ans;Exploiter les données de typologie des logements ISEE non publiées sur GéoRep – croiser avec la couche zones bâties de la BDTOPO;;
oui;305;Pressions Anthropiques;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;121;Réseau routier BDROUTE-NC;DITTT;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/d3915082450a4405bb30dda99e19bc61;Disponible;Nouvelle-calédonie;inconnu;Base de données voies du territoire NC – ouvrages franchissant l'hydrographie;;
oui;305;Pressions Anthropiques;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;122;Franchissement du réseau hydrographique des BVAEP (nom à vérifier);DAVAR;NA;;A vérifier;NA;inconnu;Base de données de la DAVAR identifiant les franchissements sur le réseau hydrographique;;
oui;306;Pressions Anthropiques;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);121;Réseau routier BDROUTE-NC;DITTT;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/maps/d3915082450a4405bb30dda99e19bc61;Disponible;Nouvelle-calédonie;inconnu;Base de données des routes Territoriales, Provinciales et des pistes;;
oui;400;Vulnérabilité;IDPR;Superficie des intersections avec des zones d’indice de persistance des réseaux (0 à 4) – IDPR;123;Hydrologie – Hydrogéologie (page thématique DIMENC);DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/pages/hydrologie;A vérifier;Nouvelle-calédonie;inconnu;IDPR calculable à partir des données hydrologie/hydrogéologie DIMENC disponibles;;
oui;401;Vulnérabilité;Perméabilité des sols (Géologie);Superficie des intersections avec des zones de nature des sols (Infiltrant / Ruisselant);124;Géologie au 1/200 000e – DIMENC/SGNC-BRGM 1981;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/cbb272c52a0a4725a154d1be059bee17;Disponible;Nouvelle-calédonie;inconnu;Contours, surfaces, points et arcs structuraux géologiques;;
non;401;Vulnérabilité;Perméabilité des sols (Géologie);Superficie des intersections avec des zones de nature des sols (Infiltrant / Ruisselant);125;Géologie au 1/50 000e – DIMENC/SGNC-BRGM 2013;DIMENC;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/documents/cd654cbb5d294cf79317e58727812586;Disponible;Nouvelle-calédonie;inconnu;Surfaces, contours, points structuraux géologiques et morphologiques;oui;si utilisation du 200 000
oui;500;Pressions Quantitatives;Vulnérabilité à la sécheresse (BBR);Valeur de déficit du Bilan Besoin Ressource (5 niveaux de déficit);6;Bilan Besoin Ressource (nom à vérifier);DAVAR;GEOREP;à identifier;Interne;NA;inconnu;Bilan DAVAR diffusion interne – contacter DAVAR;;
non;501;Pressions Quantitatives;Pluviométrie;Cumul moyen annuel et anomalies;126;Pluviométrie – Stations Météo France;Météo France;GEOREP;https://georep-dtsi-sgt.opendata.arcgis.com/items/d1636f919647426f88c40548b948d790;Disponible;Nouvelle-calédonie;inconnu;Données stations pluviométriques Météo France NC;;
non;502;Pressions Quantitatives;Niveau nappes;Suivi piézométrique des eaux souterraines;127;Base de données du sous-sol de NC (BDSSNC) – forages et hydrogéologie;DAVAR;GEOREP;https://georep.nc/node/1323;Disponible;Nouvelle-calédonie;inconnu;Informations brutes géologiques et techniques des ouvrages souterrains – DIMENC/SGNC;;
oui;503;Pressions Quantitatives;Volume prélèvements;Somme des volumes journaliers autorisés en amont;3;AODPE;DAVAR;GEOREP;à identifier;A vérifier;NA;NA;Données administratives DAVAR;;
oui;504;Pressions Quantitatives;Somme prélèvements;Nombre de prélèvements d’eau autorisés.;3;AODPE;DAVAR;GEOREP;à identifier;A vérifier;NA;NA;Données administratives DAVAR;;
non;600;Pressions Qualitatives;Qualité eau;Données ATYA (dernière mesure, nombre mesures);7;Base de données ATYA (nom à vérifier);DASS;NA;;Interne;NA;inconnu;Données DASS/ATYA diffusion interne – contacter DASS;;
