id_indicateur;famille;type;nom_indicateur;description;unite;objectif;modalités;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;Quantitatif/qualitatif;Discrète / continue;Relatif / absolu;Implantation;Représentation;Synthèse échanges Stéphane du 24 avril 2026
102;Enjeux Environnementaux;Enjeu;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;ha;Identifier les zones à forte valeur écologique (Key Biodiversity Areas, Zones Importantes pour la Conservation des Oiseaux).;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en KBA/ZICO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;
103;Enjeux Environnementaux;Enjeu;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;Nombre;Mesurer la richesse spécifique menacée dépendante de la ressource en eau.;Calcul du nombre d’espèce menacé par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Forte richesse en espèces menacées = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;
104;Enjeux Environnementaux;Enjeu;Espèces menacées (Forêt sèche);Superficie des intersections des patchs de forêt sèche;ha;Identifier la présence de forêt sèche, écosystème endémique parmi les plus menacés de Nouvelle-Calédonie.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Classes 3 niveaux;Négatif (absence = critique) ?;Présence de forêt sèche  = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;
105;Enjeux Environnementaux;Enjeu;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;ha;Caractériser la présence de couvert végétal comme indicateur de bon état écologique du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert végétal = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;
106;Enjeux Environnementaux;Enjeu;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;ha;Évaluer l'état de la couverture forestière, protectrice de la ressource en eau.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert forestier = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;
107;Enjeux Environnementaux;Enjeu;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);ha;Mesurer l'emprise agricole, source potentielle de pression sur la qualité et la quantité de la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface agricole = pression potentielle élevée;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;
200;Pressions Environnementales;Pression;Incendies cumulés;Surface totale touchée par les incendies.;ha;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.;Cumul des surfaces brûlées sur une année et agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface brûlée = forte pression → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;cumul surfacique VIIRS, simplement iintégrable en pression environnementale.
201;Pressions Environnementales;Pression;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;ha;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.
202;Pressions Environnementales;Pression;Terrain nu;Surface de terrain sans végétation.;ha;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux ruissellementau et aux transferts de polluants.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.
203;Pressions Environnementales;Pression;Glissement terrain;Zones exposées aux glissements de terrain.;ha;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?
204;Pressions Environnementales;Pression;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;?;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.;Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.;BV;Non;Non;Classes 3 niveaux;Négatif (plus = critique);Présence forte = pression écologique élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée incertaine. Source non identifiée. Indicateur non prioritaire.
300;Pressions Anthropiques;Pression;ICPE;Nombre de sites industriels à risque.;Nombre;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.;Comptage des installations par unité spatiale avec possibilité de typologie.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus d’ICPE = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.
301;Pressions Anthropiques;Pression;Activité minière;Surface occupée par les activités minières.;ha;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.;Calcul des surfaces d’emprise puis agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Surface minière élevée = pression forte → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.
302;Pressions Anthropiques;Pression;Urbanisation;Nombre de bâtiments présents.;Nombre;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.;Comptage des bâtiments par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de bâti = pression → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.
303;Pressions Anthropiques;Pression;Urbanisation (nombre de bâtis);Nombre de bâtis;Nombre;Quantifier la densité de bâti comme indicateur de pression anthropique directe sur la ressource.;Comptage des bâtis par maille spatiale.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte densité bâtie = pression élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;
304;Pressions Anthropiques;Pression;Habitations;Nombre de logements.;Nombre;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.;Comptage ou estimation des logements par unité spatiale.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Densité humaine = pression accrue;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.
305;Pressions Anthropiques;Pression;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;Nombre;Identifier les points de franchissement (ponts, buses, gués) comme facteurs de perturbation du réseau hydrographique.;Comptage des intersections entre les ouvrages linéaires (routes, pistes) et le réseau hydrographique.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Nombre élevé de franchissements = pression sur continuité écologique;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;
306;Pressions Anthropiques;Pression;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);km;Mesurer la densité du réseau routier comme indicateur de pression sur les milieux naturels et la ressource en eau.;Calcul de la longueur de voiries par maille, ventilé par type.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Fort linéaire routier = fragmentation et imperméabilisation élevées;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;
400;Vulnérabilité;Vulnérabilité;IDPR;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;Indice (0 à 4);Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.;Utilisation directe de l’indice existant avec agrégation spatiale.;maille;Oui;Oui;Déjà normalisé (0-4);Négatif (plus = critique);Indice élevé = forte vulnérabilité;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur déjà normalisé (0-4). Clé pour vulnérabilité intrinsèque. Directement exploitable.
401;Vulnérabilité;Vulnérabilité;Géologie;Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant);% ;Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.;Regroupement des classes géologiques en catégories simplifiées.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Sols infiltrant = moins critique, ruisselants = plus critique;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;Indicateur simplifié (grandes classes). Risque redondance avec IDPR. À agréger.
500;Pressions Quantitatives;Pression;BBR;Bilan Besoin Ressource, Écart entre l’eau disponible et les besoins.;Classe (non impacté / impacté / très impacté / déficitaire / très déficitaire);Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.;Utilisation directe de la classe issue du modèle avec agrégation au bassin versant.;BV;Oui;Non;Déjà normalisé (5 classes);Négatif (plus = critique);Déficit ressource = criticité maximale;Qualitatif;Discrète;Relatif;Zonal;Carte choroplèthe;Indicateur clé (5 classes). Carte BV (vert à rouge). Base analyse multicritère stratégique.
501;Pressions Quantitatives;Pression;Pluviométrie;Quantité de pluie reçue.;mm;Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.;Calcul de la moyenne spatiale par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Faible pluie = forte criticité;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée régionalisée. Redondance avec capacité production. À discuter.
502;Pressions Quantitatives;Pression;Niveau nappes;Suivi piézométrique des eaux souterraines;m NGF;Suivre l'évolution du niveau des nappes phréatiques pour détecter les tensions quantitatives.;Agrégation des données piézométriques par bassin versant ou maille.;maille;Oui;Non;Classes 3 niveaux;Positif (plus = mieux);Niveau bas = forte criticité quantitative;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;
503;Pressions Quantitatives;Pression;AODPE nombre;Nombre de prélèvements d’eau autorisés.;Nombre;Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.;Comptage des prélèvements associés à chaque captage.;Captage;Oui;Non;Classes 3 niveaux;Négatif (plus = critique);Plus de prélèvements = pression ressource;Quantitatif;Discrète;Absolu;Ponctuelle;Cercle proportionnel;Indicateur pression captage. Donnée dynamique DAVAR. Intégrable en analyse.
504;Pressions Quantitatives;Pression;AODPE volume;Volume total d’eau prélevé.;m3;Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.;Somme des volumes autorisés associés à chaque captage.;Captage;Oui;Non;Classes 3 niveaux;Négatif (plus = critique);Volume élevé = pression forte;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Complément du nombre. Permet comparaison avec ressource disponible.
505;Pressions Qualitatives;Pression;Qualité eau;Qualité de l’eau (bonne à mauvaise).;Classe (A1 / A2 / A3);Comparer les captages selon leur qualité afin d’identifier ceux nécessitant des actions de gestion ou de protection.;Attribution d’une classe par captage selon les données disponibles.;Captage;Oui;Non;Catégoriel mappé;?;Classe dégradée = criticité élevée;Qualitatif;Discrète;Absolu;Ponctuelle;Couleur;Donnée complexe et peu disponible. Difficilement intégrable dans modèle actuel.
