id_indicateur;famille;type;nom_indicateur;description;unite;objectif;contraintes;modalités;support_spatial;Ponderation;spatialisation_H3;type_source;frequence;normalisation_methode;sens_indicateur;definition_criticite;Quantitatif/qualitatif;Discrète / continue;Relatif / absolu;Discrétisation;Représentation;Seuil vigilance;Historisation;Disponibilité donnée;Synthèse échanges Stéphane du 24 avril 2026
100;Enjeux Environnementaux;Enjeu;Zones UNESCO;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;ha;Identifier les zones à haute valeur patrimoniale mondiale susceptibles d'être impactées par les pressions sur la ressource en eau.;Périmètres parfois imprécis à l'échelle locale.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Vecteur;Fixe;Classes simplifiées;Négatif;Présence dans zone UNESCO = criticité élevée;Quantitatif;Continue;Absolu;;Carte;;Fixe;Oui;
101;Enjeux Environnementaux;Enjeu;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;ha;Caractériser le niveau de protection réglementaire du milieu naturel autour des ressources en eau.;Hétérogénéité des périmètres selon les provinces.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Vecteur;Fixe;Classes simplifiées;Négatif;Présence en zone protégée = enjeu élevé;Quantitatif;Continue;Absolu;;Carte;;Fixe;Oui;
102;Enjeux Environnementaux;Enjeu;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;ha;Identifier les zones à forte valeur écologique (Key Biodiversity Areas, Zones Importantes pour la Conservation des Oiseaux).;Données issues de bases internationales, à vérifier pour la Nouvelle-Calédonie.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Vecteur;Fixe;Classes simplifiées;Négatif;Présence en KBA/ZICO = enjeu biodiversité fort;Quantitatif;Continue;Absolu;;Carte;;Fixe;Partielle;
103;Enjeux Environnementaux;Enjeu;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;Nombre;Mesurer la richesse spécifique menacée dépendante de la ressource en eau.;Données ponctuelles et incomplètes selon les groupes taxonomiques.;Calcul du nombre d’espèce menacé par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Vecteur;Annuelle;Classes 3 niveaux;Négatif;Forte richesse en espèces menacées = enjeu élevé;Quantitatif;Discrète;Absolu;;Carte;;10 ans;Partielle;
104;Enjeux Environnementaux;Enjeu;Espèces menacées (Forêt sèche);Superficie des intersections des patchs de forêt sèche;ha;Identifier la présence de forêt sèche, écosystème endémique parmi les plus menacés de Nouvelle-Calédonie.;Cartographie partielle selon les provinces.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Non;Vecteur;Fixe;Classes simplifiées;Négatif;Présence de forêt sèche = enjeu fort;Quantitatif;Continue;Absolu;;Carte;;Fixe;Partielle;
105;Enjeux Environnementaux;Enjeu;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;ha;Caractériser la présence de couvert végétal comme indicateur de bon état écologique du milieu.;Résolution variable selon les millésimes.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Raster;Annuelle;Classes simplifiées;Positif (plus = mieux);Fort couvert végétal = faible criticité;Quantitatif;Continue;Relatif;;Carte;;10 ans;Oui;
106;Enjeux Environnementaux;Enjeu;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;ha;Évaluer l'état de la couverture forestière, protectrice de la ressource en eau.;Distinction perturbé/non perturbé à affiner selon le millésime.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Raster;Annuelle;Classes 3 niveaux;Positif (plus = mieux);Fort couvert forestier = faible criticité;Quantitatif;Continue;Relatif;;Carte;;10 ans;Oui;
107;Enjeux Environnementaux;Enjeu;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);ha;Mesurer l'emprise agricole, source potentielle de pression sur la qualité et la quantité de la ressource.;Nomenclature agricole variable selon les millésimes.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Raster;Annuelle;Classes 3 niveaux;Négatif;Forte surface agricole = pression potentielle élevée;Quantitatif;Continue;Relatif;;Carte;;10 ans;Oui;
200;Pression Env;Pression;Incendies cumulés;Surface totale touchée par les incendies.;ha;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.;Résolution des données variable selon les capteurs, pouvant affecter la précision.;Cumul des surfaces brûlées sur une année et agrégation par bassin versant.;maille;Oui;Oui;Raster;Annuelle;Classes 3 niveaux;Négatif;Forte surface brûlée = forte pression → criticité élevée;Quantitatif;Continue;Absolu;;Carte;>50%;10 ans;Oui;cumul surfacique VIIRS, simplement iintégrable en pression environnementale.
201;Pression Env;Pression;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;ha;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.;Données non homogènes spatialement, limitant la comparabilité à l’échelle du territoire.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Vecteur;Annuelle;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;;Carte;;10 ans;Partielle;Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.
202;Pression Env;Pression;Terrain nu;Surface de terrain sans végétation.;ha;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux ruissellementau et aux transferts de polluants.;Dépendance à une source unique (MOS), nécessitant une validation de la qualité et de la mise à jour.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Raster;Annuelle;;;;Quantitatif;Continue;Absolu;;Carte;;10 ans;Oui;Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.
203;Pression Env;Pression;Glissement terrain;Zones exposées aux glissements de terrain.;ha;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.;Donnée modélisée et interprétée, non directement observée.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Raster;;;;;Quantitatif;Continue;Absolu;;Carte;;10 ans;Oui;Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?
204;Pression Env;Pression;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;?;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.;Absence de base de données consolidée et incertitude sur la disponibilité (voir ANCP);Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.;BV;Non;Non;?;?;À définir;Négatif;Présence forte = pression écologique élevée;;Qualitatif;Discrète;Absolu;;; ;Faible;Donnée incertaine. Source non identifiée. Indicateur non prioritaire.
300;Pression Anthro;Pression;ICPE;Nombre de sites industriels à risque.;Nombre;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.;Données dispersées entre plusieurs acteurs, absence de base consolidée et typologie homogène.;Comptage des installations par unité spatiale avec possibilité de typologie.;maille;Oui;Oui;Ponctuel;Semestrielle;Classes 3 niveaux;Négatif;Plus d’ICPE = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;;Carte;;5 ans;Faible;Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.
301;Pression Anthro;Pression;Activité minière;Surface occupée par les activités minières.;ha;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.;Accès aux données limité (données sensibles ou non publiques).;Calcul des surfaces d’emprise puis agrégation par bassin versant.;maille;Oui;Oui;Vecteur;Annuelle;Classes 3 niveaux;Négatif;Surface minière élevée = pression forte → criticité élevée;Quantitatif;Continue;Absolu;;Carte;;10 ans;Partielle;Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.
302;Pression Anthro;Pression;Urbanisation;Nombre de bâtiments présents.;Nombre;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.;Dépendance à la qualité et à l’actualisation de la BD TOPO.;Comptage des bâtiments par unité spatiale puis agrégation.;maille;Oui;Oui;Vecteur;Annuelle;Classes 3 niveaux;Négatif;Plus de bâti = pression → criticité élevée;Quantitatif;Discrète;Absolu;;Carte;;10 ans;Oui;Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.
303;Pressions Anthropiques;Pression;Urbanisation (nombre de bâtis);Nombre de bâtis;Nombre;Quantifier la densité de bâti comme indicateur de pression anthropique directe sur la ressource.;Exhaustivité variable selon les communes.;Comptage des bâtis par maille spatiale.;maille;Oui;Oui;Vecteur;Annuelle;Classes 3 niveaux;Négatif;Forte densité bâtie = pression élevée;Quantitatif;Discrète;Absolu;;Carte;;10 ans;Oui;
304;Pression Anthro;Pression;Habitations;Nombre de logements.;Nombre;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.;Croisement de sources nécessaire, avec incertitudes sur la précision spatiale.;Comptage ou estimation des logements par unité spatiale.;maille;Oui;Oui;Vecteur;4 ans;Classes 3 niveaux;Négatif;Densité humaine = pression accrue;Quantitatif;Discrète;Absolu;;Carte;;10 ans;Oui;Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.
305;Pressions Anthropiques;Pression;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;Nombre;Identifier les points de franchissement (ponts, buses, gués) comme facteurs de perturbation du réseau hydrographique.;Données incomplètes hors routes classées.;Comptage des intersections entre les ouvrages linéaires (routes, pistes) et le réseau hydrographique.;maille;Oui;Oui;Vecteur;Fixe;Classes 3 niveaux;Négatif;Nombre élevé de franchissements = pression sur continuité écologique;Quantitatif;Discrète;Absolu;;Carte;;10 ans;Partielle;
306;Pressions Anthropiques;Pression;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);km;Mesurer la densité du réseau routier comme indicateur de pression sur les milieux naturels et la ressource en eau.;Pistes non classées parfois absentes.;Calcul de la longueur de voiries par maille, ventilé par type.;maille;Oui;Oui;Vecteur;Annuelle;Classes 3 niveaux;Négatif;Fort linéaire routier = fragmentation et imperméabilisation élevées;Quantitatif;Continue;Absolu;;Carte;;10 ans;Oui;
400;Vulnérabilité;Vulnérabilité;IDPR;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;Indice (0 à 4);Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.;Donnée robuste mais reposant sur un modèle, nécessitant une bonne compréhension.;Utilisation directe de l’indice existant avec agrégation spatiale.;maille;Oui;Oui;Raster;Fixe;Déjà normalisé (0-4);Négatif;Indice élevé = forte vulnérabilité;Quantitatif;Continue;Absolu;;Carte;;Fixe;Oui;Indicateur déjà normalisé (0-4). Clé pour vulnérabilité intrinsèque. Directement exploitable.
401;Vulnérabilité;Vulnérabilité;Géologie;Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant);% ;Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.;Risque de redondance avec d’autres indicateurs et nécessité de simplification.;Regroupement des classes géologiques en catégories simplifiées.;maille;Oui;Oui;Vecteur;Fixe;Classes simplifiées;Négatif;Sols infiltrants = moins critique, ruisselants = plus critique;Quantitatif;Continue;Relatif;;Carte;;Fixe;Oui;Indicateur simplifié (grandes classes). Risque redondance avec IDPR. À agréger.
500;Pression quanti;Pression;BBR;Bilan Besoin Ressource, Écart entre l’eau disponible et les besoins.;Classe (non impacté / impacté / très impacté / déficitaire / très déficitaire);Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.;Donnée issue d’un modèle nécessitant validation et mise à jour régulière.;Utilisation directe de la classe issue du modèle avec agrégation au bassin versant.;BV;Oui;Non;Table;Mensuelle;Déjà normalisé (5 classes);Négatif;Déficit ressource = criticité maximale;Qualitatif;Discrète;Relatif;;Carte;Déficit;10 ans;Oui;Indicateur clé (5 classes). Carte BV (vert à rouge). Base analyse multicritère stratégique.
501;Pression quanti;Pression;Pluviométrie;Quantité de pluie reçue.;mm;Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.;Redondance avec d’autres indicateurs de disponibilité de la ressource.;Calcul de la moyenne spatiale par bassin versant.;maille;Oui;Oui;Raster;Annuelle;Classes 3 niveaux;Positif (plus = mieux);Faible pluie = forte criticité;Quantitatif;Continue;Absolu;;Carte;;20 ans;Oui;Donnée régionalisée. Redondance avec capacité production. À discuter.
502;Pressions Quantitatives;Pression;Niveau nappes;Suivi piézométrique des eaux souterraines;m NGF;Suivre l'évolution du niveau des nappes phréatiques pour détecter les tensions quantitatives.;Réseau de mesure sparse, couverture territoriale partielle.;Agrégation des données piézométriques par bassin versant ou maille.;maille;Oui;Non;Table;Mensuelle;Classes 3 niveaux;Négatif;Niveau bas = forte criticité quantitative;Quantitatif;Continue;Absolu;;Carte;Seuil bas;10 ans;Partielle;
503;Pression quanti;Pression;AODPE nombre;Nombre de prélèvements d’eau autorisés.;Nombre;Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.;Nécessité de suivi régulier pour intégrer les évolutions des autorisations.;Comptage des prélèvements associés à chaque captage.;Captage;Oui;Non;Table;Semestrielle;Classes 3 niveaux;Négatif;Plus de prélèvements = pression ressource;Quantitatif;Discrète;Absolu;; ; ;5 ans;Oui;Indicateur pression captage. Donnée dynamique DAVAR. Intégrable en analyse.
504;Pression quanti;Pression;AODPE volume;Volume total d’eau prélevé.;m3;Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.;Dépendance à la qualité des déclarations et à leur mise à jour.;Somme des volumes autorisés associés à chaque captage.;Captage;Oui;Non;Table;Semestrielle;Classes 3 niveaux;Négatif;Volume élevé = pression forte;Quantitatif;Continue;Absolu;; ; ;5 ans;Oui;Complément du nombre. Permet comparaison avec ressource disponible.
505;Pression quali;Pression;Qualité eau;Qualité de l’eau (bonne à mauvaise).;Classe (A1 / A2 / A3);Comparer les captages selon leur qualité afin d’identifier ceux nécessitant des actions de gestion ou de protection.;Disponibilité limitée et complexité d’interprétation des données sanitaires.;Attribution d’une classe par captage selon les données disponibles.;Captage;Oui;Non;Table;Mensuelle;Catégoriel mappé;Négatif;Classe dégradée = criticité élevée;Qualitatif;Discrète;Absolu;;Couleur;Non conforme;5 ans;Faible;Donnée complexe et peu disponible. Difficilement intégrable dans modèle actuel.
