fiche_indicateur;id_indicateur;enjeux-;Famille-indicateur-;nom_indicateur;description_indicateur_technique;description_indicateur_utilisateur;actif;Analyse_multicriteres;unite;objectif;modalites;support_spatial;Ponderation;spatialisation_H3;normalisation_methode;sens_indicateur;definition_criticite;quantitatif_qualitatif;discret_continu;relatif_absolu;implantation;representation_cartographique;synthese_echanges-1;synthese_echanges-2
;11;Enjeux AEP;Enjeu;Statut du foncier;Typologie permet d'identifier le type de propriétaire de la parcelle;"Établit la nature foncière de la parcelle occupée par le prélèvement d'eau, distinguant les terrains publics, privés ou coutumiers. Cet indicateur utilise la ressource ""Parcelle cadastrale"" produite par la DITTT pour identifier le propriétaire du terrain d'implantation.";oui;oui;PRIVE, TERRE COUTUMIERE, COLLECTIVITE, mixte (plusieurs types) ou non renseigné;Comparer les captages selon leur implantation sur dans le cadastre afin de déterminer de potentiel vulnérabilité réglementaire;Attribution directe au captage, sans transformation.;Captage;Oui;Oui;Catégoriel mappé (1-3);Valeur de classe non ordonnée et donc appliquée arbitrairement;Captage sur terrain privé = forte criticité;Qualitatif;Discrète;Absolu;Zonal;Couleur;;
;12;Enjeux AEP;Enjeu;Établissements public sensibles;Nombre d’établissements sensible alimentées par la ressource.;Estimation du nombre d'établissements sensibles (hôpitaux, dispensaires, écoles) rattachés à l'unité de distribution alimentés par la ressource. Ces données sont issues des inventaires des services publics et des infrastructures prioritaires dépendantes de la ressource en eau.;oui;oui;Nombre;Comparer les captages selon le nombre d’établissement public sensibles (Hôpitaux, dispensaires, centres de dyalise, établissements scolaires ou de formation … ) dépendants afin d’identifier les ressources les plus stratégiques pour l’alimentation en eau.;Affectation par unité de distribution puis agrégation au captage.;UD;Oui;Non;Classes 3 niveaux;Valeur de classe appliquée arbitrairement;Plus la population est élevée, plus le captage est stratégique → criticité élevée;Quantitatif;Continue;Absolu;Ponctuelle;Cercle proportionnel;Donnée UD issue de la méthode exploité dans le projet pressionPPE. Indicateur clé d’enjeu. Utilisé dans pondération multicritère.;
11;100;Enjeux Environnementaux;Enjeu;Zones UNESCO;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;Mesure la superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO. L'indicateur exploite la couche du CEN décrivant les zones terrestres tampons qui alimentent les zones marines classées au patrimoine mondial.;oui;oui;ha;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone UNESCO;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence d’une partie du bassin versant dans zone UNESCO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
12;101;Enjeux Environnementaux;Enjeu;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;Mesure la superficie des intersections avec les parcs et réserves provinciales en Nouvelle-Calédonie. La donnée compile les fichiers des Aires Protégées produits par les trois provinces (Sud, Nord, Îles) pour identifier les périmètres de conservation du milieu naturel.;oui;oui;ha;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone protégée provinciale;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en zone protégée = criticité faible bien que  enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
13;102;Enjeux Environnementaux;Enjeu;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;"Mesure la superficie des intersections avec les zones d'intérêt biologique et de biodiversité spécifique. Cet indicateur est issu de la ressource ""Zones clés de biodiversité"" du CEN, s'appuyant sur les standards internationaux de l'UICN pour localiser les zones d'intérêt majeur.";oui;oui;ha;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone KBA/ZICO;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Présence en KBA/ZICO = criticité faible bien que enjeu fort;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
14;103;Enjeux Environnementaux;Enjeu;Espèces menacées;Nombre / présence d'espèces rares ou micro-endémisme;Dénombre la présence d'espèces rares ou le micro-endémisme au sein du bassin versant. Utilisant les inventaires d'Endemia, cet indicateur s'appuie sur la couche des espèces menacées pour identifier la richesse spécifique rare sur le territoire.;non;oui;Nombre;Mesurer la richesse spécifique menacée dépendante de la ressource en eau.;Calcul du nombre d’espèce menacé par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Positif (absence = critique / plus = mieux);Forte richesse en espèces menacées = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;remplacé par un fusion de source Espèces rares et menacées dont forêt sèche;
15;104;Enjeux Environnementaux;Enjeu;Espèces rares et menacées dont forêt sèche;Superficie des intersections des patchs de forêt sèche additionné aux zones potentielles de présence d’espèces rares et menacées;"Mesure la superficie des intersections des patchs de forêt sèche additionnée aux zones potentielles de présence d’espèces rares et menacées. L'indicateur fusionne les données ""Espèces rares"" d'Endemia et les ""Indices de vulnérabilité de la forêt sèche"" du CEN pour cartographier les écosystèmes fragiles.";oui;oui;ha;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par des patch d’espèces rares et menacées dont les forêt sèches.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Non;Oui;Classes 3 niveaux;Négatif (absence = critique) ?;Présence de forêt sèche  = criticité faible bien que enjeu fort (à confirmer);Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
16;105;Enjeux Environnementaux;Enjeu;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;Mesure la superficie des intersections avec des zones de couvert végétal. L'indicateur croise le MOS 2014 (OEIL/GOUV) et la ressource Dynamic World (Google) pour fournir une description détaillée des classes de végétation et de leur évolution.;oui;oui;ha;Caractériser la présence de couvert végétal comme indicateur de bon état écologique du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert végétal = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
17;106;Enjeux Environnementaux;Enjeu;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;"Mesure la superficie des intersections avec des zones de couverture forestière non perturbée et dégradée. La donnée est basée sur la ""Cartographie des surfaces forestières"" (TMF) décrivant l'étendue de la forêt tropicale humide sans distinction des classes dynamiques.";oui;oui;ha;Évaluer l'état de la couverture forestière, protectrice de la ressource en eau.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Positif (plus = mieux);Fort couvert forestier = faible criticité;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
18;107;MENACES ANTHROPIQUES;Menace;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);Mesure la superficie des intersections avec des zones agricoles par type, incluant les terres arables, agropastorales ou la sylviculture. L'indicateur utilise le Mode d'Occupation du Sol (MOS 2014) de l'OEIL et du Gouvernement pour décrire les classes d'emprise humaine.;oui;oui;ha;Mesurer l'emprise agricole, source potentielle de pression sur la qualité et la quantité de la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface agricole = pression potentielle élevée;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;;
19;200;MENACES NATURELLES;Menace;Incendies cumulés;Surface totale touchée par les incendies.;"Mesure la surface totale touchée par les incendies ces dernières années. Cet indicateur exploite la ressource ""Zones potentiellement brûlées"" de l'OEIL, issue des détections quotidiennes des capteurs satellitaires VIIRS depuis 2012.";oui;oui;ha;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.;Cumul des surfaces brûlées sur une année et agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Forte surface brûlée = forte pression → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;cumul surfacique VIIRS, simplement iintégrable en pression environnementale.;
20;201;MENACES NATURELLES;Menace;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;"Identifie la surface des zones où le sol est abîmé ou fragile. L'indicateur s'appuie sur la ""Cartographie des formes érosives"" de l'OEIL décrivant les zones de sols dégradés identifiées par imagerie très haute résolution (Province Sud).";oui;non;ha;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée non homogène territoire si utilisation de la donnée « formes érosives » de l’OEIL. Préférence donnée homogène → MOS. Indicateur secondaire.;
21;202;MENACES NATURELLES;Menace;Terrain nu;Surface de terrain sans végétation.;Mesure la superficie de terrain sans végétation intersectant l'aire d'alimentation, en excluant les zones d'exploitations minières. La donnée utilise le MOS 2014 (OEIL/GOUV) ou le flux Dynamic World pour identifier les surfaces minérales ou dévégétalisées.;oui;oui;ha;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux ruissellement et aux transferts de polluants.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur MOS privilégié. Homogène et robuste. Calcul surfacique sur BV.;
22;203;MENACES NATURELLES;Menace;Glissement terrain;Zones exposées aux glissements de terrain.;"Identifie les zones exposées aux glissements de terrain par la répartition des surfaces d'aléa. L'indicateur mobilise la ""Compilation des cartographies d'aléa mouvement de terrain"" de la DIMENC décrivant les niveaux d'aléa de très faible à élevé.";oui;oui;ha;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de sol nu = plus d’érosion → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Carte issue analyse multicritère DIMENC. Déplacé en vulnérabilité ?;
23;204;MENACES NATURELLES;Menace;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;Estimation de la présence de cerfs et de cochons basée sur le comptage des mâchoires. Cet indicateur se base sur les données de l'ANCB, utilisant les bilans régionalisés par commune et les résultats des campagnes de régularisation de la faune.;oui;oui;?;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.;Intégration conditionnée à la disponibilité des données, sans méthode définie à ce stade.;BV;Non;Non;Classes 3 niveaux;Négatif (plus = critique);Présence forte = pression écologique élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée incertaine. Source non identifiée. Indicateur non prioritaire.;
24;300;MENACES ANTHROPIQUES;Menace;ICPE;Nombre de sites industriels à risque.;Dénombre les sites d'Installations Classées pour la Protection de l'Environnement, incluant les sites industriels, agricoles ou les stations de traitement. L'indicateur compile les bases ICPE de la DIMENC et des provinces Sud, Nord et Îles Loyauté.;oui;oui;Nombre;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.;Comptage des installations par unité spatiale avec possibilité de typologie.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus d’ICPE = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Données dispersées (provinces). Besoin typologie ICPE. Difficulté accès + structuration.;
25;301;MENACES ANTHROPIQUES;Menace;Zone d’exploitation minière;Surface occupée par les activités minières.;"Mesure la surface occupée par les activités minières, définie par les autorisations d'exploiter ou estimée via le MOS 2014. La donnée est issue de la ressource ""Exploitation minière"" de la DIMENC localisant les centres miniers et usines métallurgiques actifs.";oui;oui;ha;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.;Calcul des surfaces d’emprise puis agrégation par bassin versant.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Surface minière élevée = pression forte → criticité élevée;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Donnée DIMENC non publique. Alternative via MOS (redondance sol nu). Accès incertain.;
26;302;MENACES ANTHROPIQUES;Menace;Urbanisation;Nombre de bâtiments présents.;"Dénombre les bâtiments présents sur l'aire d'alimentation de la ressource en eau. Utilisant la ressource ""Localités et zones bâties"" de la DITTT, cet indicateur s'appuie sur la couche géographique des villes, lieux-dits et tribus au 1/50 000e.";oui;oui;Nombre;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.;Comptage des bâtiments par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus de bâti = pression → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée BD TOPO. Indicateur pression anthropique. Possibilité typologie bâtis.;
28;304;MENACES ANTHROPIQUES;Menace;Habitations;Nombre de logements.;"Dénombre le nombre de logements (résidences principales et secondaires) sur l'aire d'alimentation. L'indicateur exploite la ""Typologie de l'habitat"" de l'ISEE, issue du croisement entre le recensement et les zones bâties de la BDTOPO.";oui;oui;Nombre;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.;Comptage ou estimation des logements par unité spatiale.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Densité humaine = pression accrue;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;Donnée ISEE. Complément du bâti. Peut rester séparé ou fusionné selon usage.;
29;305;MENACES ANTHROPIQUES;Menace;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;"Dénombre les ouvrages de franchissement (ponts, radiers) situés sur l'aire d'alimentation. La donnée croise le ""Réseau routier"" de la DITTT et les inventaires de la DAVAR pour identifier les points de contact avec le réseau hydrographique.";oui;oui;Nombre;Identifier les points de franchissement (ponts, buses, gués) comme facteurs de perturbation du réseau hydrographique. Chaque pont, buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le cours d'eau en amont d'un captage;Comptage des intersections entre les ouvrages linéaires (routes, pistes) et le réseau hydrographique.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Nombre élevé de franchissements = pression sur continuité écologique;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
30;306;MENACES ANTHROPIQUES;Menace;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);"Mesure le linéaire total de voiries par type (RT, RP, RC, pistes) intersectant l'aire d'alimentation. Cet indicateur est basé sur la ressource ""BDROUTE-NC"" de la DITTT décrivant l'ensemble des voies de transport du territoire.";oui;oui;km;Mesurer la densité du réseau routier comme indicateur de pression sur les milieux naturels et la ressource en eau. Une forte densité de routes et de pistes (souvent non classées et plus érosives) augmente l'apport de sédiments dans les cours d'eau (turbidité, engrangement) et donne l'accès à des zones sensibles et peut potentiellement provoquer des pollutions.;Calcul de la longueur de voiries par maille, ventilé par type.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Fort linéaire routier = fragmentation et imperméabilisation élevées;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
;307;MENACES ANTHROPIQUES;Menace;Plan d’Urbanisme Directeur;Superficie des intersections avec des zones de type d’occupation et des dynamiques d’aménagement du territoire (zones urbanisées, à urbaniser, naturelles, zones à enjeux, terrain agricole constructible ou non);Mesure la superficie des intersections avec les zones de type d’occupation et les dynamiques d’aménagement futur (zones urbaines, agricoles, naturelles). L'indicateur s'appuie sur les PUD communaux gérés par les provinces définissant les règles d'utilisation du sol.;oui;non;ha;Comparer les captages selon les perspectives actuelles et futures de l’aménagement du territoire sur la ressource en eau ;Calcul surfacique par unité spatiale régulière puis agrégation au bassin versant.;maille;Oui;Oui;Classes 3 niveaux;;;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;;
;308;MENACES ANTHROPIQUES;Menace;Autres IOTA;"Nombre d’autres installation, ouvrages, travaux ou activités pouvant potentiellement affecter la qualité ou la quantité de la ressource en eau.
";Dénombre les installations, ouvrages ou activités (cultures hors sols, dépotoirs) potentiellement impactants mais non soumis à autorisation classique. Cet indicateur utilise les inventaires techniques de terrain pour identifier les pratiques non référencées par ailleurs.;oui;oui;Nombre;Comparer les bassins versants selon la densité d’autres installations et pratiques non référencées et généralement non soumises à autorisation administratives (cultures hors sols, petit élevage, dépotoir sauvages, …) permettant d’affiner l’analyse des pressions humaines.;Comptage des installations par unité spatiale puis agrégation.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Plus IOATA = risque pollution → criticité élevée;Quantitatif;Discrète;Absolu;Zonal;Carte choroplèthe;;
;400;Vulnérabilité Intrinsèque;Vulnérabilité;IDPR;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;Indice de Développement et de Persistance des Réseaux mesurant la sensibilité naturelle du terrain à laisser passer l'eau. Cet indicateur est calculé à partir du socle géologique pour évaluer la prédisposition du milieu aux transferts d'eau.;non;oui;Indice (0 à 4);;;maille;Oui;Oui;Déjà normalisé (0-4);Négatif (plus = critique);Indice élevé = forte vulnérabilité;Quantitatif;Continue;Absolu;Zonal;Carte choroplèthe;Indicateur déjà normalisé (0-4). Clé pour vulnérabilité intrinsèque. Directement exploitable.;Cette indicateur n’est pas produit par la DIMENC actuellement
31;401;Vulnérabilité Intrinsèque;Vulnérabilité;Géologie;Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant);"Répartition des surfaces géologiques définissant les propriétés des sols (infiltrant, intermédiaire ou ruisselant). L'indicateur est basé sur la ""Géologie au 1/200 000e"" de la DIMENC et du BRGM décrivant les formations rocheuses et arcs structuraux.";oui;non;ha;Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.;Regroupement des classes géologiques en catégories simplifiées.;maille;Oui;Oui;Classes 3 niveaux;Négatif (plus = critique);Sols infiltrant = moins critique, ruisselants = plus critique;Quantitatif;Continue;Relatif;Zonal;Carte choroplèthe;Indicateur simplifié (grandes classes). Risque redondance avec IDPR. À agréger.;
