id_indicateur;nom_famille;Nom_theme;groupe;nom_indicateur;description_indicateur;objectif;priorite
9;Enjeu;Enjeux AEP;Vulnérabilité structurelle;Type ouvrage;Type de captage (captage, forage, tranchée drainante).;Comparer les captages selon leur vulnérabilité intrinsèque liée à leur nature {un captage superficiel est considéré comme plus vulnérable qu'un forage profond dans les calculs de criticité);oui
105;Enjeu;Enjeux Environnementaux;Zone naturelle;Occupation sol (couvert végétal);Superficie des intersections avec des zones de couvert végétal;Caractériser la présence de couvert végétal comme indicateur de bon état écologique du milieu.;oui
106;Enjeu;Enjeux Environnementaux;Zone naturelle;Occupation sol (couvert forestier);Superficie des intersections avec des zones de couverture forestière non perturbée et dégradée;Évaluer l'état de la couverture forestière, protectrice de la ressource en eau.;oui
100;Enjeu;Enjeux Environnementaux;Zones protégés ;Zones UNESCO;Superficie des intersections avec les zones inscrites au patrimoine mondial de l'UNESCO;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone UNESCO;non
101;Enjeu;Enjeux Environnementaux;Zones protégés ;Zones protégées provinciales;Superficie des intersections avec parcs, réserves;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone protégée provinciale;non
102;Enjeu;Enjeux Environnementaux;Zones protégés ;KBA / ZICO;Superficie des intersections avec les zones d'intérêt biologique et biodiversité spécifique;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par une zone KBA/ZICO;non
104;Enjeu;Enjeux Environnementaux;Zones protégés ;Espèces rares et menacées dont forêt sèche;Superficie des intersections des patchs de forêt sèche additionné aux zones potentielles de présence d’éspèces rares et menacées;Comparer les bassins versants AEP entre eux par rapport à leur taux de couverture par des patch d’espèces rares et menacées dont les forêt sèches.;non
107;Menace;MENACES ANTHROPIQUES;Activités à risque ;Occupation sol (surfaces agricoles);Superficie des intersections avec des zones agricoles par type (terres arables, agropastorales, pépinières, sylviculture);Mesurer l'emprise agricole, source potentielle de pression sur la qualité et la quantité de la ressource.;oui
300;Menace;MENACES ANTHROPIQUES;Activités à risque ;ICPE;Nombre de sites industriels à risque.;Comparer les bassins versants selon la densité d’activités à risque afin d’identifier les sources potentielles de pollution.;oui
301;Menace;MENACES ANTHROPIQUES;Activités à risque ;Zone d’exploitation minière;Surface occupée par les activités minières.;Comparer les bassins versants selon l’emprise minière afin d’identifier les pressions fortes sur la ressource.;oui
302;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Urbanisation;Nombre de bâtiments présents.;Comparer les bassins versants selon leur niveau d’artificialisation afin d’identifier les pressions liées aux activités humaines.;oui
304;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Habitations;Nombre de logements.;Comparer les bassins versants selon la densité d’habitat afin d’affiner l’analyse des pressions humaines.;oui
305;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Franchissements;Nombre d'ouvrages croisant le réseau hydrographique;Identifier les points de franchissement (ponts, buses, gués) comme facteurs de perturbation du réseau hydrographique. Chaque pont, buse ou gué est un point où une pollution routière (hydrocarbures, transport de matières dangereuses) peut entrer directement dans le cours d'eau en amont d'un captage;oui
306;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Linéaire routes;Distance de linéaire total de voiries par type (RT, RP, Piste);Mesurer la densité du réseau routier comme indicateur de pression sur les milieux naturels et la ressource en eau. Une forte densité de routes et de pistes (souvent non classées et plus érosives) augmente l'apport de sédiments dans les cours d'eau (turbidité, engrangement) et donne l'accès à des zones sensibles et peut potentiellement provoquer des pollutions.;oui
307;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Plan d’Urbanisme Directeur;Type d’occupation et  dynamiques d’aménagement du territoire (zones urbanisées, à urbaniser, naturelles, zones à enjeux, terrain agricole constructible ou non);Comparer les captages selon les perspectives actuelles et futures de l’aménagement du territoire sur la ressource en eau ;non
503;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Nombre de prélèvement AODPE;Nombre de prélèvements d’eau autorisés.;Comparer les captages selon le nombre de prélèvements afin d’évaluer la pression d’usage.;oui
504;Menace;MENACES ANTHROPIQUES;Infrastructures et usages;Volume des prélèvements AODPE;Volume total d’eau prélevé.;Comparer les captages selon les volumes prélevés afin d’évaluer l’intensité de la pression quantitative.;oui
200;Menace;MENACES NATURELLES;Perturbations environnementales ;Incendies cumulés;Surface totale touchée par les incendies.;Comparer les bassins versants selon leur historique d’incendies afin d’identifier les milieux les perturbés.;oui
201;Menace;MENACES NATURELLES;Perturbations environnementales ;Surface érosion;Surface des zones où le sol est abîmé ou fragile.;Comparer les bassins versants selon leur sensibilité à l’érosion afin d’identifier les ressources exposées à des dégradations du milieu.;oui
202;Menace;MENACES NATURELLES;Perturbations environnementales ;Terrain nu;Surface de terrain sans végétation.;Comparer les bassins versants selon l’étendue des surfaces dégradées afin d’identifier les zones les plus sensibles aux ruissellement et aux transferts de polluants.;oui
204;Menace;MENACES NATURELLES;Perturbations environnementales ;Espèces exotiques envahissantes (EEE);Présence d´espèces exotiques envahissantes;Comparer les bassins versants selon la présence d’espèces envahissantes afin d’identifier des pressions écologiques potentielles.;non
203;Menace;MENACES NATURELLES;Sensibilité naturelle;Glissement terrain;Zones exposées aux glissements de terrain.;Comparer les bassins versants selon leur instabilité afin d’identifier les zones à risque pour la ressource.;oui
401;Menace;MENACES NATURELLES;Sensibilité naturelle;Géologie;Type de sol et de roche. Propriété des sols correspondant (infiltrant / intermédiaire / ruisselant);Comparer les bassins versants selon les propriétés des sols afin de qualifier leur comportement hydrologique.;oui
402;Menace;MENACES NATURELLES;Sensibilité naturelle;Vulnérabilité intrinsèque des eaux souterraines;Niveau de sensibilité naturelle du terrain à laisser passer l’eau.;Comparer les bassins versants selon leur vulnérabilité intrinsèque afin d’identifier les zones les plus sensibles aux transferts.;oui
500;Menace;MENACES NATURELLES;Sensibilité naturelle;BBR;Bilan Besoin Ressource, Écart entre l’eau disponible et les besoins.;Comparer les bassins versants selon l’équilibre ressource/besoins afin d’identifier les situations de tension ou de déficit.;oui
501;Menace;MENACES NATURELLES;Sensibilité naturelle;Pluviométrie;Quantité de pluie reçue.;Comparer les bassins versants selon les apports en eau afin de contextualiser la disponibilité de la ressource.;non
